                                                           The SAS System                         12:50 Sunday, December 3, 2017   1

                                                Obs    time_trt     COUNT    PERCENT

                                                  1    1_0.1gy     354846    8.33333
                                                  2    1_1gy       354846    8.33333
                                                  3    1_Mock      354846    8.33333
                                                  4    24_0.1gy    354846    8.33333
                                                  5    24_1gy      354846    8.33333
                                                  6    24_Mock     354846    8.33333
                                                  7    3_0.1gy     354846    8.33333
                                                  8    3_1gy       354846    8.33333
                                                  9    3_Mock      354846    8.33333
                                                 10    72_0.1gy    354846    8.33333
                                                 11    72_1gy      354846    8.33333
                                                 12    72_Mock     354846    8.33333
